umap_dim1,umap_dim2,class_label,anomaly_label
-4.221568,54.920822,0,0
-5.2542133,54.97116,0,0
-3.8984752,52.21399,0,0
-4.4066296,55.584858,0,0
-5.0643725,55.210773,0,0
-4.389698,54.96852,0,0
-4.741386,54.332825,0,0
-5.0046945,55.51384,0,0
-3.9556496,55.647476,0,0
-3.900971,52.24458,0,0
-4.119857,52.52396,0,0
-4.303772,55.022774,0,0
-5.060872,54.151985,0,0
-4.9331446,55.250805,0,0
-4.552481,55.929474,0,0
-3.734862,52.789154,0,0
11.243551,33.797062,0,0
-4.051255,53.187553,0,0
-5.221233,55.106308,0,0
-3.7932868,52.68982,0,0
11.284025,33.83894,0,0
11.05795,33.48889,0,0
-5.0740485,55.21958,0,0
-4.9939394,55.54448,0,0
-5.0071993,54.379932,0,0
-5.1758375,54.434685,0,0
-5.0027723,54.28075,0,0
-3.5136917,52.06654,0,0
-4.8976436,55.6758,0,0
-4.947025,54.168507,0,0
-5.145113,54.76536,0,0
-4.7728415,53.28721,0,0
-5.0422554,54.550354,0,0
-5.0108914,54.060707,0,0
-3.7895901,52.062767,0,0
-5.2674923,54.54062,0,0
11.768539,-0.24893488,0,0
-5.1327124,54.18184,0,0
-4.9592066,53.657738,0,0
-4.0671067,53.10539,0,0
-4.845063,53.368908,0,0
-3.4758334,51.838097,0,0
10.851868,33.105133,0,0
-5.1109505,54.94505,0,0
-5.018918,54.17863,0,0
-4.2619915,53.350155,0,0
11.277756,33.837223,0,0
11.939056,-0.19978091,0,0
-4.146228,52.785965,0,0
-4.2193174,53.43919,0,0
-3.7339957,52.041733,0,0
-3.7059624,52.79154,0,0
-4.178288,53.369972,0,0
-3.7800562,52.05714,0,0
-4.5885897,53.890385,0,0
-4.79646,53.431004,0,0
11.360841,34.047943,0,0
11.052036,33.495716,0,0
-4.264516,52.889565,0,0
-3.7415593,55.39694,0,0
-3.8937206,52.55524,0,0
-3.4041731,52.40415,0,0
10.873455,33.13946,0,0
-4.8371124,53.47943,0,0
11.048543,33.45782,0,0
-5.158188,54.7919,0,0
-4.8271475,53.88436,0,0
-4.9600954,53.622147,0,0
-4.2341514,54.739346,0,0
11.925715,-0.24448948,0,0
-4.8862247,54.615227,0,0
-3.2463567,52.880863,0,0
-3.4715912,51.934513,0,0
-5.158972,54.522526,0,0
-4.6946187,54.15293,0,0
-5.1084614,55.067066,0,0
11.085144,33.52816,0,0
10.963694,33.284622,0,0
-4.982721,55.3402,0,0
-4.1954083,53.179558,0,0
-5.0793953,55.446926,0,0
10.9588175,33.249634,0,0
-4.083223,52.63149,0,0
-5.3629723,54.364056,0,0
-4.1706743,52.775833,0,0
-4.428182,53.388123,0,0
-4.732113,53.5433,0,0
-3.6025133,52.02912,0,0
-3.1499124,52.201748,0,0
11.1065645,33.601284,0,0
-5.2863,54.675095,0,0
-3.842601,52.17138,0,0
-5.161282,53.96776,0,0
-4.7613707,53.755085,0,0
-3.2384632,52.3993,0,0
11.116304,33.59464,0,0
-3.9913116,52.145023,0,0
-5.036085,55.44853,0,0
-3.623242,51.973137,0,0
-4.544613,55.931217,0,0
-4.7053323,55.86504,0,0
-5.056617,54.37585,0,0
-4.3949394,54.69246,0,0
11.131905,33.62739,0,0
-3.8997662,53.029476,0,0
-5.248562,54.30252,0,0
11.247279,33.77818,0,0
-5.3213725,54.298637,0,0
-5.23714,54.42573,0,0
-5.3219137,54.494736,0,0
11.834325,-0.23706366,0,0
-4.6057405,53.97679,0,0
-3.7653337,55.685253,0,0
-4.0914574,52.599422,0,0
-4.4348097,52.8919,0,0
10.936151,33.206226,0,0
-4.2627974,54.54911,0,0
10.954759,33.22407,0,0
-3.3766618,51.819405,0,0
-4.5051823,53.52777,0,0
-4.588943,53.031357,0,0
-4.0637326,52.530148,0,0
-4.266932,54.51525,0,0
10.935441,33.17001,0,0
-4.273043,54.906525,0,0
-4.5364428,56.0243,0,0
-4.31641,53.379307,0,0
-4.4922285,54.66464,0,0
11.319304,33.93373,0,0
11.253919,33.8164,0,0
-4.552421,53.042076,0,0
11.077929,33.36992,0,0
-4.6821,55.774178,0,0
-4.3081584,55.582096,0,0
-3.5943182,51.818996,0,0
-4.5000987,55.88316,0,0
-4.2278075,52.6732,0,0
-4.604563,55.92471,0,0
-3.5758395,51.888233,0,0
-3.5958219,55.33051,0,0
-4.5900016,55.934235,0,0
-5.3905067,54.97305,0,0
-5.1524534,53.401493,0,0
-5.3539844,54.826435,0,0
-5.096687,53.391567,0,0
-5.185766,53.47789,0,0
-5.282279,53.758854,0,0
-4.27141,54.51523,0,0
-4.0268703,53.570904,0,0
-4.1381702,52.393654,0,0
-4.596221,55.90883,0,0
-4.014719,53.65063,0,0
-4.8141265,55.758793,0,0
-4.931881,55.660976,0,0
-3.5929601,51.949673,0,0
-5.357803,54.533783,0,0
-3.5459723,51.866577,0,0
-3.4671397,55.272892,0,0
-4.39525,54.50142,0,0
-5.4035325,54.250744,0,0
-4.301049,54.509426,0,0
-5.418907,54.41062,0,0
-4.8767867,55.787426,0,0
-4.220377,54.605343,0,0
-5.3944435,54.022182,0,0
-5.33183,54.9861,0,0
-5.3541155,53.78411,0,0
-4.5922976,55.887577,0,0
-5.0987134,55.336582,0,0
-3.5553746,55.253296,0,0
-5.2704167,53.7232,0,0
-5.3973002,54.57581,0,0
10.845554,33.275272,0,0
-4.2266726,54.481163,0,0
-5.1102543,53.4212,0,0
-4.515005,55.844715,0,0
10.68809,33.308903,0,0
-3.9954503,52.23012,0,0
-5.3458085,54.39109,0,0
-3.4139237,55.231953,0,0
-5.306498,53.73166,0,0
-5.3276763,55.05515,0,0
-3.528982,55.204437,0,0
-3.5354178,55.244198,0,0
-3.4825382,55.227715,0,0
-5.1017346,53.419674,0,0
-3.538611,55.309643,0,0
-5.3616123,54.930134,0,0
-4.0365405,52.261475,0,0
-3.873651,52.084156,0,0
-5.179249,53.438156,0,0
-5.223836,55.247643,0,0
-5.20926,53.50047,0,0
-3.4274833,55.36062,0,0
-4.1579995,52.26295,0,0
-3.5158408,55.315563,0,0
-5.389689,53.768307,0,0
-5.3661885,54.130062,0,0
-3.4201705,55.333275,0,0
-5.345855,53.650986,0,0
-5.0452113,53.291336,0,0
-3.5267224,55.28458,0,0
-5.3718495,54.99467,0,0
-4.8334236,55.826523,0,0
-3.5561602,55.23346,0,0
-4.7628493,55.756897,0,0
-4.171917,54.06126,0,0
-5.197945,55.340088,0,0
-5.442515,54.293896,0,0
-3.491095,55.24506,0,0
-5.3947477,55.023598,0,0
-5.262352,53.826683,0,0
-5.3635745,54.492805,0,0
11.116392,33.58202,0,0
-5.247226,55.138893,0,0
-4.1812563,53.03666,0,0
-3.1462479,52.40011,0,0
-3.0239124,52.3909,0,0
-3.1360145,52.56663,0,0
-3.951824,55.56381,0,0
11.427304,34.062057,0,0
-4.533138,55.958668,0,0
-5.3880477,54.95996,0,0
-4.458031,53.87971,0,0
-4.5909276,53.913548,0,0
-3.789349,52.440987,0,0
-2.6212814,52.498608,0,0
-1.2100338,50.82118,0,0
-4.8222117,55.84348,0,0
-4.596581,53.581734,0,0
-3.8469374,55.649403,0,0
-4.2874713,52.788692,0,0
10.949644,33.20161,0,0
-3.1588335,52.261963,0,0
-3.44463,52.485825,0,0
-2.9857879,52.302982,0,0
-3.0076966,52.369976,0,0
-4.299018,54.9445,0,0
11.195185,33.683453,0,0
-4.105886,55.688374,0,0
-4.672609,53.35563,0,0
-4.6770606,55.930363,0,0
-3.329278,52.4711,0,0
11.297384,33.875214,0,0
-3.7927048,52.762337,0,0
-3.5403683,52.90913,0,0
-4.6860247,53.726967,0,0
-5.102303,53.294018,0,0
-3.7200277,51.95385,0,0
-4.845789,53.827812,0,0
-3.2077153,52.330833,0,0
-4.1601973,55.681366,0,0
11.676933,-0.32493192,0,0
10.863256,33.097,0,0
11.6658745,-0.29964298,0,0
10.852714,33.09103,0,0
-4.1007485,52.293922,0,0
-3.9915824,52.63085,0,0
11.37392,33.985832,0,0
10.838494,33.072655,0,0
-4.5206113,53.295105,0,0
-4.0619864,52.2888,0,0
-4.67829,53.520985,0,0
11.002217,33.26615,0,0
-3.8923526,52.57165,0,0
-5.229515,53.557198,0,0
-3.7435098,52.015537,0,0
-3.60008,55.369995,0,0
10.820225,33.068172,0,0
11.914835,-0.20089434,0,0
-3.819522,55.683346,0,0
-4.426887,53.187687,0,0
-4.313776,53.22043,0,0
-4.756094,53.17046,0,0
-4.918545,53.552635,0,0
-5.2095203,53.559765,0,0
-3.8887653,52.053288,0,0
-4.408332,53.35361,0,0
11.290191,33.845963,0,0
-5.4280696,54.034588,0,0
-4.9721093,54.29239,0,0
-3.3456028,51.79263,0,0
-3.133483,52.35525,0,0
11.072782,33.483078,0,0
-4.7893133,54.03442,0,0
-4.9100943,54.22827,0,0
-5.087364,55.22357,0,0
-4.9311543,54.17329,0,0
-4.4804406,55.37793,0,0
-4.4060287,55.28455,0,0
-4.729091,53.98901,0,0
-4.770958,54.016296,0,0
-4.80091,54.18523,0,0
-4.701803,54.183624,0,0
-5.369072,54.852066,0,0
-4.848217,54.086845,0,0
-4.71788,54.031216,0,0
-4.8754926,53.998028,0,0
-4.611067,56.014996,0,0
-4.1801324,52.969906,0,0
-4.2431693,52.846214,0,0
-4.7217383,55.916832,0,0
-4.0969906,55.306812,0,0
-5.0465326,54.798954,0,0
-4.6976547,54.06233,0,0
-3.8928523,55.68025,0,0
-4.945652,53.95716,0,0
-4.838992,53.876152,0,0
-4.192246,55.326206,0,0
11.381344,33.9845,0,0
-5.0984836,54.077824,0,0
-4.479128,55.93651,0,0
-4.211266,54.806477,0,0
-4.854907,54.153965,0,0
