Time,Acc
82.63,0.001293
82.64,-0.001706
82.65,0.000296
82.66,0.010298
82.67,0.0063
82.68,0.001301
82.69,-0.007697
82.7,-0.010695
82.71,-0.007694
82.72,-0.011692
82.73,-0.00669
82.74,-0.004689
82.75,-0.001687
82.76,-0.001685
82.77,0.000316
82.78,0.002318
82.79,0.00132
82.8,0.000321
82.81,0.002323
82.82,0.006325
82.83,0.010327
82.84,0.013328
82.85,0.00633
82.86,0.005332
82.87,0.005333
82.88,-0.002665
82.89,0.002337
82.9,-0.004662
82.91,-0.00466
82.92,-0.003658
82.93,0.000343
82.94,0.000345
82.95,-0.001653
82.96,0.005348
82.97,0.00935
82.98,0.010352
82.99,0.009354
83,0.007355
83.01,0.002357
83.02,-0.006641
83.03,-0.00664
83.04,-0.001638
83.05,-0.001636
83.06,-0.003635
83.07,-0.006633
83.08,-0.010631
83.09,-0.00763
83.1,-0.004628
83.11,-0.008626
83.12,-0.004625
83.13,-0.003623
83.14,-0.002621
83.15,0.00038
83.16,0.000382
83.17,-0.002616
83.18,-0.007614
83.19,0.000387
83.2,-0.001611
83.21,-0.001609
83.22,-0.002608
83.23,-0.004606
83.24,0.000396
83.25,-0.003603
83.26,-0.003601
83.27,-0.004599
83.28,-0.015598
83.29,-0.013596
83.3,-0.012594
83.31,-0.007593
83.32,-0.003591
83.33,-0.003589
83.34,-0.002587
83.35,0.004414
83.36,0.011416
83.37,0.009418
83.38,0.010419
83.39,0.005421
83.4,0.002423
83.41,0.001424
83.42,-0.001574
83.43,-0.002572
83.44,-0.004571
83.45,-0.006569
83.46,-0.011567
83.47,-0.007566
83.48,-0.002564
83.49,-0.004562
83.5,0.00244
83.51,0.005441
83.52,0.014443
83.53,0.009445
83.54,0.013446
83.55,0.011448
83.56,0.01145
83.57,0.007451
83.58,0.004453
83.59,-0.001545
83.6,-0.001544
83.61,-0.004542
83.62,-0.00754
83.63,-0.012539
83.64,-0.007537
83.65,-0.011535
83.66,-0.013534
83.67,-0.011532
83.68,-0.00853
83.69,-0.004528
83.7,-0.002527
83.71,-0.003525
83.72,0.009477
83.73,0.007478
83.74,0.01548
83.75,0.010482
83.76,0.005483
83.77,0.001485
83.78,-0.006513
83.79,-0.004512
83.8,-0.00451
83.81,-0.006508
83.82,-0.013507
83.83,-0.016505
83.84,-0.012503
83.85,-0.007501
83.86,-0.0035
83.87,0.001502
83.88,0.001504
83.89,0.002505
83.9,0.013507
83.91,0.011509
83.92,0.01651
83.93,0.007512
83.94,0.006514
83.95,0.004515
83.96,0.000517
83.97,0.002519
83.98,-0.00348
83.99,-0.008478
84,-0.012476
84.01,-0.011474
84.02,-0.008473
84.03,-0.003471
84.04,-0.004469
84.05,-0.002468
84.06,0.006534
84.07,0.009536
84.08,0.011537
84.09,0.015539
84.1,0.013541
84.11,0.015542
84.12,0.011544
84.13,0.016546
84.14,0.014547
84.15,0.005549
84.16,-0.002449
84.17,-0.002447
84.18,-0.004446
84.19,-0.010444
84.2,-0.011442
84.21,-0.012441
84.22,-0.006439
84.23,-0.001437
84.24,0.000564
84.25,-0.001434
84.26,0.004568
84.27,0.000569
84.28,0.004571
84.29,0.006573
84.3,0.007574
84.31,0.010576
84.32,0.001578
84.33,-0.001421
84.34,-0.007419
84.35,-0.006417
84.36,-0.004415
84.37,-0.008414
84.38,-0.011412
84.39,-0.01141
84.4,-0.012409
84.41,-0.002407
84.42,-0.002405
84.43,-0.003404
84.44,0.000598
84.45,0.0096
84.46,0.011601
84.47,0.011603
84.48,0.010605
84.49,0.013606
84.5,0.009608
84.51,0.01061
84.52,0.009612
84.53,0.002613
84.54,-0.001385
84.55,-0.007383
84.56,-0.007382
84.57,-0.01038
84.58,-0.007378
84.59,-0.004377
84.6,-0.008375
84.61,0.002627
84.62,0.002628
84.63,0.00663
84.64,0.006632
84.65,0.002633
84.66,0.002635
84.67,0.007637
84.68,0.006639
84.69,0.00764
84.7,-0.001358
84.71,-0.003356
84.72,-0.002355
84.73,-0.003353
84.74,-0.006351
84.75,-0.00435
84.76,-0.004348
84.77,-0.002346
84.78,-0.001345
84.79,0.001657
84.8,0.001659
84.81,0.00066
84.82,0.006662
84.83,0.007664
84.84,0.006666
84.85,0.004667
84.86,0.002669
84.87,-0.006329
84.88,-0.001328
84.89,-0.004326
84.9,-0.002324
84.91,-0.006323
84.92,-0.010321
84.93,-0.010319
84.94,-0.012318
84.95,-0.011316
84.96,-0.013314
84.97,-0.012313
84.98,-0.010311
84.99,-0.006309
85,0.001692
85.01,0.004694
85.02,0.004696
85.03,0.005698
85.04,0.004699
85.05,0.006701
85.06,0.001703
85.07,0.000704
85.08,0.001706
85.09,0.000708
85.1,-0.001291
85.11,0.000711
85.12,0.002713
85.13,-0.004286
85.14,-0.002284
85.15,-0.003282
85.16,0.006719
85.17,0.004721
85.18,0.004723
85.19,0.004725
85.2,0.004726
85.21,0.009728
85.22,0.00573
85.23,0.006731
85.24,0.002733
85.25,-0.001265
85.26,-0.003264
85.27,0.001738
85.28,-0.00626
85.29,-0.003259
85.3,-0.003257
85.31,-0.004255
85.32,-0.003254
85.33,0.002748
85.34,0.00175
85.35,0.000752
85.36,0.004753
85.37,0.005755
85.38,0.009757
85.39,0.010758
85.4,0.01376
85.41,0.009762
85.42,0.004763
85.43,0.005765
85.44,0.004767
85.45,0.000768
85.46,-0.00223
85.47,-0.003228
85.48,-0.002227
85.49,-0.002225
85.5,-0.003223
85.51,-0.006221
85.52,-0.00622
85.53,-0.008218
85.54,-0.002216
85.55,0.000785
85.56,-0.002213
85.57,-0.002211
85.58,-0.00121
85.59,0.001792
85.6,0.006794
85.61,0.006795
85.62,0.005797
85.63,-0.001201
85.64,-0.0042
85.65,0.001802
85.66,-0.003196
85.67,-0.004195
85.68,-0.006193
85.69,-0.004191
85.7,-0.002189
85.71,0.000812
85.72,-0.004186
85.73,0.000816
85.74,0.002817
85.75,0.009819
85.76,0.011821
85.77,0.014822
85.78,0.015824
85.79,0.014826
85.8,0.013827
85.81,0.013829
85.82,0.009831
85.83,0.005832
85.84,0.000834
85.85,0.000836
85.86,-0.001162
85.87,-0.004161
85.88,-0.008159
85.89,-0.013157
85.9,-0.011156
85.91,-0.006154
85.92,-0.003152
85.93,-0.003151
85.94,0.001851
85.95,0.004853
85.96,0.006854
85.97,0.005856
85.98,0.009858
85.99,0.007859
86,0.009861
86.01,0.006863
86.02,-0.002135
86.03,-0.004134
86.04,-0.007132
86.05,-0.01613
86.06,-0.017129
86.07,-0.019127
86.08,-0.011125
86.09,-0.006124
86.1,-0.007122
86.11,-0.00312
86.12,0.002881
86.13,0.006883
86.14,0.014885
86.15,0.014886
86.16,0.013888
86.17,0.00789
86.18,0.009892
86.19,0.006893
86.2,0.002895
86.21,-0.004103
86.22,-0.003102
86.23,-0.0061
86.24,-0.006098
86.25,-0.003097
86.26,-0.001095
86.27,-0.004093
86.28,0.000908
86.29,0.00191
86.3,0.006912
86.31,0.005913
86.32,0.007915
86.33,0.006917
86.34,0.009918
86.35,0.01192
86.36,0.009922
86.37,0.009924
86.38,-0.003075
86.39,-0.002073
86.4,-0.002071
86.41,-0.00307
86.42,-0.008068
86.43,-0.007066
86.44,-0.008065
86.45,-0.006063
