Time,Acc
4.8,-0.003833
4.81,0.000168
4.82,-0.00183
4.83,0.001172
4.84,0.000173
4.85,-0.001825
4.86,0.003177
4.87,0.006178
4.88,0.00518
4.89,0.001182
4.9,0.002183
4.91,-0.002815
4.92,0.000187
4.93,-0.001812
4.94,-0.00281
4.95,-0.001808
4.96,0.001194
4.97,-0.001805
4.98,-0.003803
4.99,-0.001801
5,-0.0018
5.01,0.000202
5.02,-0.007796
5.03,-0.003795
5.04,-0.006793
5.05,-0.003791
5.06,-0.00579
5.07,-0.006788
5.08,0.000214
5.09,-0.001785
5.1,0.002217
5.11,0.000219
5.12,-0.001779
5.13,0.005222
5.14,0.001224
5.15,0.001226
5.16,-0.002773
5.17,0.001229
5.18,0.005231
5.19,0.003232
5.2,0.005234
5.21,0.002236
5.22,0.002237
5.23,0.003239
5.24,0.005241
5.25,0.003242
5.26,0.000244
5.27,0.001246
5.28,-0.001753
5.29,-0.001751
5.3,0.000251
5.31,0.003253
5.32,-0.006746
5.33,-0.003744
5.34,-0.005742
5.35,-0.001741
5.36,-0.002739
5.37,-0.001737
5.38,-0.002736
5.39,-0.006734
5.4,0.001268
5.41,-0.001731
5.42,0.000271
5.43,0.002273
5.44,0.001274
5.45,0.002276
5.46,0.003278
5.47,0.00628
5.48,0.003281
5.49,0.002283
5.5,-0.003715
5.51,-0.001714
5.52,-0.002712
5.53,-0.00271
5.54,-0.001709
5.55,0.000293
5.56,-0.002705
5.57,-0.003704
5.58,-0.002702
5.59,-0.0027
5.6,-0.003699
5.61,-0.003697
5.62,-0.002695
5.63,0.000307
5.64,-0.001692
5.65,-0.00169
5.66,-0.002688
5.67,-0.002687
5.68,-0.001685
5.69,0.002317
5.7,-0.002682
5.71,-0.00668
5.72,0.001322
5.73,-0.003677
5.74,-0.003675
5.75,-0.002673
5.76,-0.003672
5.77,-0.00167
5.78,0.003332
5.79,0.000333
5.8,0.001335
5.81,-0.002663
5.82,0.000339
5.83,-0.00166
5.84,-0.005658
5.85,-0.001656
5.86,-0.002655
5.87,-0.003653
5.88,-0.010651
5.89,-0.00865
5.9,-0.003648
5.91,-0.005646
5.92,-0.005645
5.93,-0.003643
